#options: 640x360 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=36.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:44.43 aq:36.62 tex:25754 mv:7153 misc:5877 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:44.43 aq:37.13 tex:459 mv:663 misc:606 imb:5 pmb:120 smb:795 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:44.43 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:44.43 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:44.43 aq:36.86 tex:912 mv:817 misc:671 imb:13 pmb:137 smb:770 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:44.43 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:44.43 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:44.43 aq:37.49 tex:768 mv:921 misc:671 imb:17 pmb:134 smb:769 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:44.43 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:44.43 aq:36.49 tex:787 mv:1068 misc:673 imb:10 pmb:173 smb:737 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:44.43 aq:36.92 tex:800 mv:940 misc:620 imb:13 pmb:156 smb:751 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:44.43 aq:41.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:44.43 aq:36.72 tex:829 mv:992 misc:707 imb:16 pmb:160 smb:744 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:44.43 aq:36.61 tex:1012 mv:1264 misc:756 imb:21 pmb:189 smb:710 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:44.43 aq:41.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:44.43 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:44.43 aq:36.72 tex:896 mv:1000 misc:728 imb:20 pmb:150 smb:750 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:44.43 aq:36.72 tex:903 mv:1114 misc:775 imb:20 pmb:172 smb:728 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:44.43 aq:41.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:44.43 aq:36.53 tex:873 mv:994 misc:637 imb:10 pmb:168 smb:742 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:44.43 aq:36.87 tex:1236 mv:1141 misc:727 imb:34 pmb:174 smb:712 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:44.43 aq:36.76 tex:1014 mv:1140 misc:710 imb:20 pmb:183 smb:717 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:44.43 aq:36.41 tex:982 mv:1031 misc:739 imb:21 pmb:172 smb:727 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:44.43 aq:39.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:44.43 aq:36.74 tex:1203 mv:1137 misc:716 imb:21 pmb:178 smb:721 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:44.43 aq:36.58 tex:992 mv:1150 misc:754 imb:18 pmb:172 smb:730 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:44.43 aq:36.51 tex:1421 mv:1155 misc:736 imb:30 pmb:188 smb:702 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:44.43 aq:36.61 tex:1116 mv:961 misc:747 imb:25 pmb:141 smb:754 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:44.43 aq:36.43 tex:1019 mv:1132 misc:753 imb:19 pmb:193 smb:708 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:44.43 aq:41.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:44.43 aq:36.95 tex:1165 mv:1063 misc:764 imb:19 pmb:170 smb:731 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:44.43 aq:40.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
